station_id,station_id.1,latitude,longitude,elevation,date_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,cloud_coverage,air_temperature,dew_point_temperature,altimeter,current_wx1_symbol,current_wx2_symbol,current_wx3_symbol,remarks,air_pressure_at_sea_level,eastward_wind,northward_wind,band_0,band_1,band_2,band_3,band_4,cloud_type,predicted
WAAA,WAAA,-5.07,119.53,14.0,03/01/2022 06:38:00,320.0,11.0,22.0,8000.0,VCSH,,,SCT,1800.0,,,,,,,4,29.0,26.0,29.77,16,0,0,TEMPO TL0700 33013G25KT,1008.22,7.070663706551936,-8.426488874308756,495.0,441.0,907.0,862.0,855.0,NonCB,CB
WADB,WADB,-8.55,118.7,2.0,03/01/2022 06:38:00,360.0,8.0,,8000.0,VCSH,,,FEW,1400.0,SCT,1500.0,,,,,4,30.0,25.0,29.74,16,0,0,NOSIG RMK CB TO NW,1007.29,1.959434878635765e-15,-8.0,475.0,474.0,857.0,777.0,779.0,CB,CB
WADD,WADD,-8.73,115.17,216.0,03/01/2022 06:38:00,270.0,7.0,,9999.0,,,,FEW,1700.0,,,,,,,2,30.0,24.0,29.77,0,0,0,NOSIG,1006.93,7.0,1.2858791391047208e-15,279.0,234.0,873.0,656.0,664.0,NonCB,NonCB
WADL,WADL,-8.75,116.28,97.0,03/01/2022 06:38:00,290.0,6.0,,8000.0,,,,BKN,1600.0,,,,,,,6,30.0,23.0,29.77,0,0,0,NOSIG,1007.7,5.63815572471545,-2.052120859954014,477.0,411.0,916.0,791.0,788.0,NonCB,CB
WADS,WADS,-8.433333333333334,117.41666666666669,3.0,03/01/2022 06:38:00,330.0,8.0,,6000.0,,,,FEW,1800.0,SCT,1800.0,,,,,4,29.0,25.0,29.74,0,0,0,NOSIG,1007.28,4.000000000000004,-6.928203230275507,501.0,451.0,924.0,819.0,813.0,NonCB,CB
WAGI,WAGI,-2.7,111.66666666666669,23.0,03/01/2022 06:38:00,0.0,0.0,,9000.0,TS,,,FEW,1200.0,BKN,1300.0,,,,,6,31.0,24.0,29.77,17,0,0,CB TO W,1008.15,-0.0,-0.0,165.0,168.0,847.0,574.0,586.0,CB,NonCB
WAGS,WAGS,-2.5,112.98333333333332,15.0,03/01/2022 06:38:00,300.0,4.0,,8000.0,VCSH,,,FEW,800.0,BKN,900.0,,,,,6,33.0,24.0,29.74,16,0,0,NOSIG,1007.19,3.4641016151377544,-2.0000000000000004,90.0,143.0,813.0,481.0,499.0,NonCB,NonCB
WAHQ,WAHQ,-7.516666666666667,110.75,128.0,03/01/2022 06:38:00,240.0,10.0,,9000.0,,,,SCT,1500.0,,,,,,,4,32.0,20.0,29.8,0,0,0,NOSIG,1008.41,8.660254037844384,5.000000000000004,97.0,146.0,795.0,430.0,439.0,NonCB,NonCB
WAHS,WAHS,-6.98,110.38,3.0,03/01/2022 06:38:00,10.0,6.0,,7000.0,,,,SCT,14000.0,,,,,,,4,,,,0,0,0,FT 30/23 Q1008 NOSIG,,-1.041889066001582,-5.908846518073248,356.0,362.0,960.0,898.0,878.0,NonCB,CB
WALL,WALL,-1.27,116.9,3.0,03/01/2022 06:38:00,50.0,4.0,,9999.0,,,,FEW,1800.0,SCT,2000.0,,,,,4,29.0,24.0,29.74,0,0,0,CB TO SW AND SE,1007.28,-3.064177772475912,-2.571150438746157,354.0,338.0,947.0,831.0,816.0,CB,NonCB
WALS,WALS,-0.6166666666666667,117.15,230.0,03/01/2022 06:38:00,90.0,5.0,,9000.0,-RA,,,BKN,1800.0,,,,,,,6,29.0,25.0,29.77,61,0,0,NOSIG,1006.92,-5.0,-3.061616997868383e-16,334.0,322.0,959.0,831.0,813.0,NonCB,NonCB
WAMG,WAMG,0.52,123.07,2.0,03/01/2022 06:38:00,,5.0,,9999.0,,,,SCT,1300.0,SCT,2300.0,,,,,4,28.0,24.0,29.74,0,0,0,,1007.29,,,524.0,506.0,862.0,726.0,724.0,NonCB,CB
WAMM,WAMM,1.55,124.92,80.0,03/01/2022 06:38:00,,2.0,,7000.0,,,,FEW,1700.0,BKN,1800.0,,,,,6,25.0,24.0,29.8,0,0,0,NOSIG RMK CB IN CLIMB,1008.96,,,511.0,505.0,834.0,835.0,833.0,CB,CB
WAOK,WAOK,-3.4,116.21666666666668,18.0,03/01/2022 06:38:00,330.0,3.0,,9000.0,,,,SCT,1400.0,SCT,15000.0,,,,,4,30.0,25.0,29.74,0,0,0,NOSIG,1007.19,1.500000000000001,-2.598076211353315,425.0,406.0,960.0,835.0,815.0,NonCB,CB
WAOO,WAOO,-3.45,114.77,20.0,03/01/2022 06:38:00,260.0,10.0,,1500.0,TSRA,,,FEW,1600.0,OVC,1600.0,,,,,8,26.0,24.0,29.77,1095,0,0,CB OVER THE FIELD,1008.21,9.84807753012208,1.7364817766693033,374.0,344.0,969.0,901.0,879.0,CB,CB
WAQA,WAQA,-4.133333333333334,117.66666666666669,9.0,03/01/2022 06:38:00,300.0,4.0,,8000.0,,,,SCT,1200.0,,,,,,,4,30.0,24.0,29.77,0,0,0,NOSIG,1008.25,3.4641016151377544,-2.0000000000000004,246.0,245.0,926.0,760.0,754.0,NonCB,NonCB
WAQQ,WAQQ,3.33,117.57,6.0,03/01/2022 06:38:00,220.0,5.0,,9999.0,,,,BKN,1200.0,,,,,,,6,30.0,24.0,29.77,0,0,0,NOSIG,1008.26,3.2139380484326963,3.83022221559489,227.0,215.0,911.0,703.0,702.0,NonCB,NonCB
WAQT,WAQT,2.1166666666666667,117.45,26.0,03/01/2022 06:38:00,20.0,7.0,,7000.0,-RA,,,BKN,1100.0,BKN,2600.0,,,,,6,26.0,25.0,29.83,61,0,0,NOSIG,1010.18,-2.394141003279681,-6.577848345501359,323.0,306.0,952.0,855.0,838.0,NonCB,NonCB
WARR,WARR,-7.37,112.78,2.0,03/01/2022 06:38:00,70.0,8.0,,9999.0,,,,SCT,2000.0,,,,,,,4,31.0,26.0,29.74,0,0,0,NOSIG,1007.29,-7.517540966287266,-2.7361611466053506,213.0,189.0,865.0,693.0,709.0,NonCB,NonCB
WATC,WATC,-8.633333333333333,122.23333333333332,3.0,03/01/2022 06:38:00,360.0,3.0,,9999.0,,,,FEW,1500.0,SCT,1600.0,,,,,4,30.0,27.0,29.74,0,0,0,CB TO W NOSIG,1007.28,7.34788079488412e-16,-3.0,236.0,284.0,827.0,528.0,547.0,CB,NonCB
WATE,WATE,-8.85,121.66666666666669,15.0,03/01/2022 06:38:00,130.0,5.0,,8000.0,,,,BKN,1500.0,,,,,,,6,31.0,26.0,29.71,0,0,0,NOSIG,1006.2,-3.83022221559489,3.2139380484326967,288.0,220.0,785.0,528.0,559.0,NonCB,NonCB
