station_id,station_id,latitude,longitude,elevation,date_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,cloud_coverage,air_temperature,dew_point_temperature,altimeter,current_wx1_symbol,current_wx2_symbol,current_wx3_symbol,remarks,air_pressure_at_sea_level,eastward_wind,northward_wind,band_0,band_1,band_2,band_3,band_4
WAAA,WAAA,-5.07,119.53,14.0,2024-09-03 06:30:00,320.0,11.0,22.0,8000.0,VCSH,,,SCT,1800.0,,,,,,,4,29.0,26.0,29.77,16,0,0,TEMPO TL0700 33013G25KT,1008.22,7.070663706551936,-8.426488874308756,495,441,907,862,855
WABB,WABB,-1.17,136.12,11.0,2024-09-03 06:30:00,320.0,4.0,,9000.0,,,,FEW,1700.0,SCT,1800.0,,,,,4,30.0,25.0,29.71,0,0,0,,1006.23,2.5711504387461583,-3.064177772475911,,,,,
WABI,WABI,-3.32,135.5,3.0,2024-09-03 06:30:00,290.0,9.0,,9999.0,,,,SCT,1600.0,,,,,,,4,32.0,26.0,29.68,0,0,0,,1005.28,8.457233587073175,-3.078181289931021,,,,,
WADB,WADB,-8.55,118.7,2.0,2024-09-03 06:30:00,360.0,8.0,,8000.0,VCSH,,,FEW,1400.0,SCT,1500.0,,,,,4,30.0,25.0,29.74,16,0,0,NOSIG RMK CB TO NW,1007.29,1.959434878635765e-15,-8.0,475,474,857,777,779
WADD,WADD,-8.73,115.17,216.0,2024-09-03 06:30:00,270.0,7.0,,9999.0,,,,FEW,1700.0,,,,,,,2,30.0,24.0,29.77,0,0,0,NOSIG,1006.93,7.0,1.2858791391047208e-15,279,234,873,656,664
WADL,WADL,-8.75,116.28,97.0,2024-09-03 06:30:00,290.0,6.0,,8000.0,,,,BKN,1600.0,,,,,,,6,30.0,23.0,29.77,0,0,0,NOSIG,1007.7,5.63815572471545,-2.052120859954014,477,411,916,791,788
WADS,WADS,-8.433333333333334,117.41666666666667,3.0,2024-09-03 06:30:00,330.0,8.0,,6000.0,,,,FEW,1800.0,SCT,1800.0,,,,,4,29.0,25.0,29.74,0,0,0,NOSIG,1007.28,4.0000000000000036,-6.928203230275507,501,451,924,819,813
WAGI,WAGI,-2.7,111.66666666666667,23.0,2024-09-03 06:30:00,0.0,0.0,,9000.0,TS,,,FEW,1200.0,BKN,1300.0,,,,,6,31.0,24.0,29.77,17,0,0,CB TO W,1008.15,-0.0,-0.0,165,168,847,574,586
WAGS,WAGS,-2.5,112.98333333333333,15.0,2024-09-03 06:30:00,300.0,4.0,,8000.0,VCSH,,,FEW,800.0,BKN,900.0,,,,,6,33.0,24.0,29.74,16,0,0,NOSIG,1007.19,3.4641016151377544,-2.0000000000000004,90,143,813,481,499
WAHQ,WAHQ,-7.516666666666667,110.75,128.0,2024-09-03 06:30:00,240.0,10.0,,9000.0,,,,SCT,1500.0,,,,,,,4,32.0,20.0,29.8,0,0,0,NOSIG,1008.41,8.660254037844384,5.000000000000004,97,146,795,430,439
WAHS,WAHS,-6.98,110.38,3.0,2024-09-03 06:30:00,10.0,6.0,,7000.0,,,,SCT,14000.0,,,,,,,4,,,,0,0,0,FT 30/23 Q1008 NOSIG,,-1.041889066001582,-5.908846518073248,356,362,960,898,878
